Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
2,6224375,Operative Cakes,,,2005600062;2055600062,2-00560-0062;2-05560-0062,2087721;2080293,711-733 Brush Avenue,,10465,Not found,Not found,Bronx, Not found ,104407,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104407,,,,,1973,2,100,Whole Building,Whole Building,,84.6,,32,,7.1,,,773283,,,,,,,,,,2564587.1,751637.4,745273.8,,,284.8,57.4,227.4,116,1.11,Not found,2/14/2018,Not found
14,6224246,955/989,6224246,955/989,2026040500;2026040270,2026040500;2026040270,2101594;2094275,955 East 149th Street,,10455,Not found,Not found,Bronx, Not found ,340000,Distribution Center,"Distribution Center, Refrigerated Warehouse",Distribution Center,340000,Refrigerated Warehouse,190000,,,1969,2,100,Whole Building,Common areas (all energy loads),,54.2,55.8,23.6,25.1,4.1,0.1,,,,,,,,,,5002944,58194.1,7480042.4,2192274.7,2192274.7,,,928.9,265.7,663.2,521.6,0.98,Not found,2/15/2018,Not found
56,6128948,Howard,6128948,Howard,7000060005;7000500004,7000060005;7000500004,,99-32 66 Road,,11374,Not found,Not found,Queens, Not found ,300000,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,300000,Parking,10000,,,1951,2,100,Whole Building,,100,6,6,1.9,1.9,0.6,,,,,,,,,,,,,571008.1,167352.9,167352.9,,,50.6,0,50.6,,,Not found,2/23/2018,Not found
92,4938305,105 E 106th & 104 E 107th,4938305,105 E 106th & 104 E 107th,1016340003;1016340065,1016340003; 1016340065,1052015; 1052058,105 East 107th Street,,10029,Not found,Not found,Manhattan, Not found ,180300,Other,"Other, Parking",Other,180300,Parking,0,,,1947,2,100,Whole Building,Whole Building,,213.5,216,87.4,90.3,17.1,0.1,,,4174139.5,,,,,,,1006378.1,11619.1,10580226.7,3100886.7,3089729.9,,,1305.8,367.7,938,5384.5,29.86,Not found,3/1/2018,Not found
185,4926122,Main Campus - Super Block,4926122,Main Campus - Super Block,1014620005;1014620001,1-01462-0005;1-01462-0001,1087284;1045572,1275  York Ave,,10065,Not found,Not found,Manhattan, Not found ,1382117,Other - Specialty Hospital,Other - Specialty Hospital,Other - Specialty Hospital,1382117,,,,,1940,2,100,Whole Building,,,607,613,301.3,306.2,37,,,,,,,,241907234,,,,,174486466.2,51139051.9,51139051.9,,,31532.2,0,31532.2,,,Not found,3/12/2018,Not found
198,5858542,zysman gottesman,5858542,zysman gottesman,1021560083;1021560048,1-02156-0083;1-02156-0048,1063746;1063737,2540 amsterdam ave,,10033,Not found,Not found,Manhattan, Not found ,230392,College/University,College/University,College/University,230392,,,,,1929,2,100,Whole Building,,,102.8,110.6,101.8,109.5,,,,23444681.5,,,,,,,,,,,,,,,1739.8,1739.8,0,,,Not found,3/12/2018,Not found
274,6258027,St. Nicholas Greek Orthodox Church,,,4055200001;4055200047;4055200050,4-05520-0001:05520-0047:05520-0050,4124560:4121243:4121243,196-10 Northern Blvd,,11358,Not found,Not found,Queens, Not found ,80000,Worship Facility,"K-12 School, Parking, Worship Facility",K-12 School,75000,Worship Facility,20000,Parking,0,2007,1,95,Whole Building,,84,94.9,,52.1,,,,,,,,,,,,,3117300,,1827467,535599.9,,,,327.6,165.6,162,,,Not found,3/16/2018,Not found
297,6224375,Operative Cakes,,,2005600062;2055600068,2-00560-0062;2-05560-0068,2087721;2080293,711-733 Brush Avenue,,10465,Not found,Not found,Bronx, Not found ,104407,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104407,,,,,1973,1,100,Whole Building,Whole Building,68,84.6,,32,,7.1,,,773283,,,,,,,,,,2564587.1,751637.4,745273.8,,,284.8,57.4,227.4,116,1.11,Not found,3/19/2018,Not found
452,2667012,NH MEETH,,,1014180006;1014180032,1-01418-0006;1-01418-0032,1043862;1087753,210 East 64th Street,,10065,Not found,Not found,Manhattan, Not found ,263550,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,263550,,,,,1902,1,100,Whole Building,Whole Building,,588.8,,353.5,,24.5,,,,,,70393.8,,70856940.1,,,,,22250504.9,6521249.2,6447417.9,,,6682.7,5.2,6677.5,0,0,Not found,3/25/2018,Not found
538,3616164,Penn South,3616164,Penn South,1007520001;1007490001;1007490024;1007470001;1007510001;1007480001,1-00752-0001; 1-00749-0001; 1-00749-0024; 1-00747-0001; 1-00751-0001; 1-00748-0001,,321 Eighth Ave,,10001,Not found,Not found,Manhattan, Not found ,3151841,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,3151841,Other,0,,,1960,14,100,Whole Building,Whole Building,74,107.3,107.3,96.5,96.5,1,0.7,,81986507,,,,,,,,211423270.8,2114232.7,10586280.2,3102660.9,3102660.9,,,18252.4,17313.8,938.6,174652.2,55.41,Not found,3/27/2018,Not found
